address,allocation
0xde145d33eb670684b63a684dc9f7e968dc852d06,0.0551%
0xfd1e0c20755faa30745f1445e3ea186c6fe9541f,0.0551%
0x46bd3a128e68d14a3b3397f9ac6ace872cc5f46b,0.0551%
0xf09939571963a4e515ca5f6af6c4fe90b71eae43,0.0551%
0xeafab401feff6599bed156819b7a28e42455be2b,0.0551%
0x955f7065a027d2167d6ccc97b4b92e303e193276,0.0509%
0xd25138dd5ee31aa239a637ef44b3a754be766acf,0.0550%
0x5971498dde5e6d066249c9327422f014359b2307,0.0433%
0x959e2a4db1fa5d56b810759f2e6d80a01eb9e892,0.1397%
0xb6307fc8d7475c3397feaebe25e17ab269d4545f,0.0549%
0x4f4e6ae73fb2d7b516c6cdc27ade6f4eca8649b5,0.0552%
0x4a8fc34316f869c947e6fea2e634d0c564f22036,0.0352%
0x9168a80af210c511e4be5b32d7de75124d0a4996,0.1677%
0x8d4ba5448af446a5f31a0993bf3073d1b4869f76,0.0352%
0xab19fff8a9ec218bbde3db8bbadee8292897efd9,0.0352%
0x10e4de14fbd0f71665d05336ea9b74b4c59b56b3,0.0678%
0xe7686814e3916aa4a4abc38e3ab1156f722dcd3c,0.0600%
0x759c8aef3a1f2d3edcdd4b1e15a910c496c9eb2a,0.0352%
0xa100b4ac538f548a286da2a3d0cdb2b589767e2d,0.0218%
0xf99bf474151fc2aededbd7b2f3090b0a928e4480,0.0216%
0xd4045bf615fc1f66ad3af11ea14767c9b5cdfde7,0.0216%
0x61c96cec2cda84b4e1c042584e8eaa75bde0c3e5,0.0216%
0x03b65a417c07167fbfd1c55d5871b9f53bcb5239,0.0216%
0x2720daf144c64728c956d5c32952fd33db33f220,0.0190%
0xb582222855b181e2d8d1a700b49ca28c4d8fc0a9,0.0190%
0x3dff083d1b045fa637f114ecb7987a412a573e50,0.1022%
0x6524bf075ca22935eacb4f85a75d7e40873c0fa0,0.0213%
0x723754999055edd043596b6fc0556672b845450f,0.0681%
0x4d6ff9db3dce4326b06193a008bb282e856d9180,0.0955%
0xfa06fdfd096dac3043390955c8c0551ac85bb296,0.0350%
0x10aeb99c8af59b41e66cfb8ae4c7cd4f7136a328,0.0343%
0x8d6c64c838a68ad40cc267619ae01b037dba2849,0.0350%
0xef085367a2a71df4a4eeb962c707c705a15b65f9,0.0571%
0x50c61443cc890e44e79e2f98e3c59938f349d9a5,0.0269%
0x296fe099539ff9d9f336ade92fc11dfe170ad68f,0.0350%
0x2956f8362b84cb5c0b4b8d5c788f50a73646b267,0.0350%
0xe4ebdfe47cb2e1ea29dc6781df32c482fcfb8bf6,0.0350%
0x03bfc6364a0f938e23dbe0c81896ee7ff171d7f1,0.0350%
0xfdd232bb32451d1e91c8bb0503d2664b452baf68,0.0903%
0xb100d3e70f05a0889774fc3465b2adb621b8fd17,0.0822%
0xb056d1d3db184e7370c75394a1a4599e59b0755f,0.0905%
0x635c2c8e76a1b092428acf9d1f59a5b20e3ecfd0,0.0382%
0x881fe1736103d8662a862e52b51a527ab72b5786,0.0382%
0x274c63af43e245cce834dc0ce144fe624994155a,0.0382%
0x7b7bd3f1a4935e69fa6db2ff3775d789b6ff2110,0.0678%
0x759a85a5a8ee5b8b62bb3632817a098aa79cc58d,0.0494%
0xad9ee16bacfb455a0a22818f19cfc61e9dd26979,0.0276%
0x24897ee939047f440be1e285bc00119f72d90dc7,0.0440%
0x119df784874970d2e97a759b05cd2b26aa759f5b,0.0545%
0x0411731be3b7cba409ede437472b75004353d81a,0.0873%
0xcc924d498ae08c844546cfce81556e7c1ff6b525,0.1026%
0x9158a3f8ef9d475786a1f739e2a40bac46d02c86,0.0439%
0x59da758f73d4112367051820cb757fe4c0fbae60,0.0222%
0x8377937187d22da9ba47498cf4c4ca7da3d1533b,0.0220%
0x6688c62ec252777dcf8a850a0c665efa9c81b655,0.0218%
0x950ba11f839aa4599eee5b4d23ffe33c9b77449c,0.0213%
0x35ed39910094a3b189ef5e9fc3351fec75fe4d7a,0.0213%
0xeaaf19b7a04ded0c3d1c036280817cacab987e15,0.0211%
0x53f1e49216e9e6d51b78167eeec407cc62a3ff63,0.0543%
0x08471f1fbd6614254aa360c82d40d49d014710a4,0.0678%
0x38c43905321cf0f7d7c6cda5ce635c62016662e1,0.0335%
0x07e5d991bf31b2b9dbe4a0931140e78b73b3e8eb,0.0675%
0xb2d9608276f98836936619d3eef78f42ed6b252e,0.0836%
0x14c55eb9867e957bed83e1bf663e86060fad604d,0.1682%
0x19b97b896c241fc39852b1bc0ede5364a5b011f7,0.1278%
0xae0ad2947c529560763db15cfc26e02d21cd3353,0.1520%
0x52ce74f87ef0878988f73d46650ce481e14f8903,0.1672%
0xeba30865c3b6f79f9087dc35531de5cf462e375f,0.0719%
0xf980ca86709349d5c1e4ee2a1e8a84c7465456ba,0.0438%
0xbe2f4afa5a21dcae6160783b143c27c4005ec8de,0.0367%
0x6992dd12fd82e7035da8ff5362a8d1c54f979c1d,0.0675%
0xc3d0f19de1cff07ca4a550a9d956d9a8a9afe742,0.0998%
0xa07c878690402114d344a8263949581fe6849f0f,0.1609%
0x65ab4e663ce598ffa5c0ecb2e15b97b57e598830,0.0598%
0x4183c6c949c7fca66b1d351646dbc4824ca278de,0.0425%
0x4c9324acb977ef283a66551806da74e0b8170a29,0.0493%
0x859207d2cbeb6b29d63238729a79523f88d12a0d,0.0845%
0xfb34154a692f6ebacde196f36ca35a8711b2a92a,0.0176%
0x3af99b245330e231ce32c2b22b4ad45bc27e18cb,0.0731%
0xa53ce374860f8134095464e439c9aee2f76dda9a,0.0565%
0x2c3ad451e5e9db4c1c4ef7d0a1cfd35f94dc0445,0.0176%
0x31650ae11e3a6bb1f08d896fa57253a621ca7378,0.1010%
0xbfe658f241e8fb6382dc1310881c7878ae20714a,0.0900%
0xb3421655dcb3512b7c8bb4abbbf2c36765e649cc,0.1664%
0xb0085e89d9ac6156f3603f7b38a53107aa006d9f,0.0175%
0x08e2fa4e992310181cf81fd00dc0e30fc4bd8579,0.0448%
0x304a4519ee3485768bd0ec2435b01b769902d446,0.0425%
0x32f8a0db8074fd54b72f0720b70eacd0aa5e1182,0.0596%
0xc948f617d092e04279d08afecaa598a8e0ed45e0,0.0832%
0xfad36a7d3ef6aa7e9f7ba744e0b476aad504ace5,0.0443%
0x912add4666b4edb0cacd6c6f6f1b66681311c5b4,0.0399%
0x60540071b9d49749993c269cefcc46e1eeb43d8a,0.0934%
0xf378c920b37864c9b1b7b4054b4418781b572f5d,0.0342%
